dog,nseg,kb_avg,kb_total,coi
5092,2656,737669,277.737,0.334731
5103,2249,509330,226.47,0.231118
5117,2333,552810,236.953,0.250848
5128,2492,531750,213.383,0.241292
5142,2744,708828,258.319,0.321644
5148,2504,771827,308.237,0.350231
5153,1967,392131,199.355,0.177937
5157,2031,754226,371.357,0.342244
5229,1684,318553,189.164,0.144549
5252,2494,587322,235.494,0.266508
5253,2473,1.22138e+06,493.887,0.554224
5317,2978,825723,277.274,0.374687
5322,2406,496202,206.235,0.225161
5403,2365,490330,207.328,0.222497
5406,881,168117,190.826,0.0762863
5407,2707,725748,268.1,0.329322
5408,3307,1.00225e+06,303.069,0.45479
5431,2454,643414,262.19,0.291961
5434,3403,1.16142e+06,341.292,0.527016
5465,2020,425022,210.407,0.192862
5475,2483,584319,235.328,0.265146
5503,2252,512798,227.708,0.232692
5506,2335,560342,239.975,0.254266
5535,2602,981389,377.167,0.445324
5556,2121,411520,194.022,0.186735
5558,1924,358694,186.431,0.162764
5561,2221,553556,249.237,0.251186
5606,2794,963665,344.905,0.437281
5607,2871,889836,309.939,0.40378
5672,2396,1.2323e+06,514.314,0.559179
5679,2408,538709,223.717,0.244449
5696,2625,562679,214.354,0.255326
5700,2772,682205,246.106,0.309563
5703,2801,736086,262.794,0.334013
5708,2041,474121,232.298,0.215141
5738,1097,214206,195.265,0.0972
5746,2169,1.10692e+06,510.336,0.502286
5758,2603,661143,253.993,0.300006
5767,1793,363456,202.709,0.164925
5770,2594,689003,265.614,0.312648
5802,2582,836886,324.123,0.379753
5820,2457,570924,232.366,0.259068
5821,2309,521215,225.732,0.236511
5835,2759,909447,329.629,0.412679
5838,2619,644033,245.908,0.292242
5845,1844,431144,233.809,0.19564
5846,2512,590857,235.214,0.268113
5847,2383,568757,238.673,0.258084
